Date & Time,Pod Name,Processor/GPU Name,Core/GPU Count,Max Usage (%),Max GPU Temperature (C),Max Pwr:Usage/Cap (%),Max VRAM Usage (%)
2025-03-04_22-26-36,whisper-ubi-gpu,NVIDIA L4,4,0,36,37.68055555555556,14.695667274463837
2025-03-04_22-26-46,whisper-ubi-gpu,NVIDIA L4,4,0,39,40.70833333333333,0.004341408352869671
2025-03-04_22-26-56,whisper-ubi-gpu,NVIDIA L4,4,0,39,38.01388888888889,14.695667274463837
2025-03-04_22-27-06,whisper-ubi-gpu,NVIDIA L4,4,0,39,28.375,0.017365633411478683
2025-03-04_22-27-16,whisper-ubi-gpu,NVIDIA L4,4,0,38,22.805555555555557,0.017365633411478683
2025-03-04_22-27-26,whisper-ubi-gpu,NVIDIA L4,4,25,38,29.055555555555557,8.131457844924894
2025-03-04_22-27-37,whisper-ubi-gpu,NVIDIA L4,4,0,39,38.99999999999999,8.131457844924894
2025-03-04_22-27-47,whisper-ubi-gpu,NVIDIA L4,4,0,39,28.430555555555554,0.004341408352869671
2025-03-04_22-27-57,whisper-ubi-gpu,NVIDIA L4,4,0,38,22.805555555555557,0.004341408352869671
2025-03-04_22-28-07,No Pod,NVIDIA L4,4,0,37,22.805555555555557,0.004341408352869671

